rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Buisness plus with double bed double,room,business,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Villa - Sea View Villa - Sea View sea,villa,,private bathroom,,,not club,,no balcony,sea view,
"Superior Room, 1 Queen Bed (1 Queen Bed)",room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Room, 2 Twin Beds, City View (2 Twin Beds)",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
Suite Upper Pool Access Suite,suite,,private bathroom,,,not club,,no balcony,,
3-Bedroom Sea View,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,sea view,
Twin/Double room - Ambassador Twin/Double room - Ambassador,room,ambassador,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe With Jacuzzi,room,deluxe,private bathroom,,,not club,,no balcony,,
Suite Elite Suite Double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Studio, 1 Double Bed with Sofa bed, Connecting Rooms, Sea View (Residence)",studio,,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Standard triple room double  in block,room,standard,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
Urban Twin Room with Balcony and with City View(Room Only),room,standard,private bathroom,twin/twin-or-double,double,not club,,balcony,city view,
Comfort triple room,room,comfort,private bathroom,,triple,not club,,no balcony,,
King Guest Room,room,standard,private bathroom,,,not club,,no balcony,,
Deluxe King Deluxe King Room Only (1 Double),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
2 communicating rooms,room,standard,private bathroom,,,not club,,no balcony,,
Superior room Superior room,room,superior,private bathroom,,,not club,,no balcony,,
Double room King bed - Top floor Room Only,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Junior Suite, Terrace (Grand) (1 King Bed)",junior-suite,grand,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Suite, 2 Double Beds, Private Pool",suite,deluxe,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,,
"Junior Double Room, Balcony (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,,
Family room Basic rate with breakfast,room,standard,private bathroom,,,not club,,no balcony,,
"Standard Fairmont Gold Palm Sea View Room, Lounge Access King Sea",room,standard,private bathroom,,,not club,,no balcony,sea view,
"Standard Room, 2 Double Beds",room,standard,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,,
executive suite partial sea view with balcony Room Only,suite,executive,private bathroom,,,not club,,balcony,partial-sea view,
Standard Double Room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite - Executive - Balcony Suite - Executive - Balcony,suite,executive,private bathroom,,,not club,,balcony,,
Executive Room (Lounge Access) (2 Double Beds),room,executive,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,,
Deluxe triple room twin,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Double Or Twin Room Lake View Double or Twin Room, Lake View (3 Single)",room,standard,private bathroom,,,not club,,no balcony,lake view,
"Superior Suite Superior Suite, 1 Double Bed",suite,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
executive grand deluxe double Half Board,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard DOUBLE PROMO,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Room, 2 Twin Beds, Non Smoking",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Studio Balcony Studio Balcony,studio,,private bathroom,,,not club,,balcony,,
Room STANDARD,room,standard,private bathroom,,,not club,,no balcony,,
Deluxe Room Deluxe Room Room Only (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Villa Villa - Premium - Garden View Garden,villa,premium,private bathroom,,,not club,,no balcony,garden view,
Apartment 1 bedroom Apartment 1 bedroom,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Premium 1 King Premium club access Club,room,premium,private bathroom,double/double-or-twin,double,club,,no balcony,,
"Penthouse, 2 Bedrooms (for 6 people) (2 King Beds and 1 Double Sofa Bed)",room,standard,private bathroom,,,not club,2 bedrooms,no balcony,,penthouse floor
3 Bedroom Family Suite Breakfast,suite,,private bathroom,,,not club,3 bedrooms,no balcony,,
Accessible King Room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Tiny,room,standard,private bathroom,,,not club,,no balcony,,
Two Bedroom Deluxe Villa,villa,deluxe,private bathroom,,,not club,2 bedrooms,no balcony,,
Standard Room Pool View Double All Inclusive,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,
"Junior Suite Creek View With Balcony Free Beach Transfer,25% off Food & Beverage",junior-suite,,private bathroom,,,not club,,balcony,water view,
"Marina Terrace Spa Room Room, Non Smoking, Marina View (Terrace Spa) (1 Double)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,harbour view,
"One Bedroom 1 Suite 1 King and 1 Sofa Bed, One Bedroom Suite, Non-Smoking",suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Superior Superior Double or Twin Sea View Sea,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Single KING SUPERIOR ROOM,room,superior,private bathroom,,single,not club,,no balcony,,
Deluxe room double,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Patio Room(with breakfast),room,standard,private bathroom,,,not club,,no balcony,,
"4 Bedroom Suite, 4 Bedroom Suite, Palm view, Balcony Room Only",suite,,private bathroom,,,not club,4 bedrooms,balcony,,
Deluxe Sea View Room Breakfast,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
SUPERIOR ROOM (2AD),room,superior,private bathroom,,,not club,,no balcony,,
Deluxe Twin Room Deluxe Twin Room,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Superior with a view Double bed Twin beds,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,with view,
Twin room - City View Twin room - City View city,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
Suite - Corner Suite - Corner,suite,,private bathroom,,,not club,,no balcony,,
Standard Standard Twin Room with French Balcony City View NRF City,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
"1 Double 2 Single Beds, Non-Smoking, Family Room, Air Conditioning",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
1 Bedroom Beach Villa with Private Pool,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Premium Two Bedroom Suite Breakfast,suite,premium,private bathroom,,,not club,2 bedrooms,no balcony,,
Premier ARMANI PREMIERE ROOM (ARMANI CLASSIC),room,classic,private bathroom,,,not club,,no balcony,,
Studio non-smoking,studio,,private bathroom,,,not club,,no balcony,,
"Standard Room, 3 Twin Beds",room,standard,private bathroom,,triple,not club,,no balcony,,
Triple,room,standard,private bathroom,,triple,not club,,no balcony,,
"Superior Double Room, Sea View (2 Adults) (1 Double Bed)",room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Deluxe King Deluxe Room with Bay View & Yas Theme Park Access Bay,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,bay view,
Standard Single Basic Rate with full board,room,standard,private bathroom,,single,not club,,no balcony,,
Apartment - 3 Bedrooms  - Sea View,apartment,,private bathroom,,,not club,3 bedrooms,no balcony,sea view,
"luxury bay, suite, 1 king, sofa bed, sea view, balcony (1 Double)",suite,luxury,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
Standard Quadruple BEZ PITANIYA,room,standard,private bathroom,,quadruple,not club,,no balcony,,
QUADRUPLE THREE BEDS,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Room SUPERIOR,room,superior,private bathroom,,,not club,,no balcony,,
"Standard King Room Standard Room With 1 King Size Bed,Room Only (1 Double)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Pool Beach Villa Sunset - Transfers Included Seaplane Full Board,villa,,private bathroom,,,not club,,no balcony,sunset view,
Executive Suite SUITE EXECUTIVE PARK Park,suite,executive,private bathroom,,,not club,,no balcony,,
"Comfort Double Room Non refundable rate without breakfast (only for RF citizen, RB citizen)",room,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio - Reduced Sea View Studio - Reduced Sea View sea,studio,,private bathroom,,,not club,,no balcony,partial-sea view,
"Family Room, 2 Bedrooms",room,standard,private bathroom,,,not club,2 bedrooms,no balcony,,
Room with 1 Double Bed and 1 Single Bed Suitable for Children up to 12 Years Old non-smoking,suite,,private bathroom,,single,not club,,no balcony,,
Standard Twin Room with 20% discount on F&B,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Executive Suite SUITE EXECUTIVE,suite,executive,private bathroom,,,not club,,no balcony,,
Connecting Inland View Rooms with Terrace,room,standard,private bathroom,,,not club,,no balcony,inland view,
Superior Room,room,superior,private bathroom,,,not club,,no balcony,,
Standard 1 King Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
The Apartment,apartment,,private bathroom,,,not club,,no balcony,,
"Apartment 1 Bedroom, Creek View",apartment,,private bathroom,,,not club,1 bedroom,no balcony,water view,
Villa - De Luxe Villa - De Luxe,villa,deluxe,private bathroom,,,not club,,no balcony,,
Twin/Double room - Fairmont Twin/Double room - Fairmont,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Superior Room with 2 Single Beds,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Metropolitan Park Room,room,standard,private bathroom,,,not club,,no balcony,,
Two Bedroom Suite Two Bedroom Suite Breakfast Included (1 King 1 Twin),suite,,private bathroom,multiple,,not club,2 bedrooms,no balcony,,
Park Lane King Park Lane King,room,standard,private bathroom,,,not club,,no balcony,,
Luxury Guestroom with Private Outdoor Jacuzzi,room,luxury,private bathroom,,,not club,,no balcony,,
Three Bedroom Family Suite Kitchen/Balcony Three Bedroom Family Suite Kitchen/Balcony,suite,,private bathroom,,,not club,3 bedrooms,balcony,,
FAMILY JUNIOR SUITE Basic rate without breakfast (payment at the hotel) (only for RF citizens),junior-suite,,private bathroom,,,not club,,no balcony,,
"Club Suite, 1 Bedroom (1 Double Bed)",suite,,private bathroom,double/double-or-twin,double,club,1 bedroom,no balcony,,
Presidential Suite Pool Villa,villa,presidential,private bathroom,,,not club,,no balcony,,
Superior family room double,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Queen/Queen - Accessible - Bathtub Queen/Queen - Accessible - Bathtub,room,standard,private bathroom,,double,not club,,no balcony,,
Twin/Double room - Economy - Basement Level Twin/Double room - Economy - Basement Level,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,basement floor
Courtyard Suite,suite,,private bathroom,,,not club,,no balcony,,
Twin Room(one),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Terrace Garden View Room,room,standard,private bathroom,,,not club,,no balcony,garden view,
Superior Room (chambre supérieure corner) (1 King Bed),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Executive Room, 2 Queen Beds (2 Queen Beds)",room,executive,private bathroom,,quadruple,not club,,no balcony,,
"Premium Suite, 1 Bedroom, Garden View (King)(1 King Bed)",suite,premium,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,garden view,
Studio Studio Beach Club Pool Villas,studio,,private bathroom,,,not club,,no balcony,,
Guest twin guest room,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard twin Bar Half Board rate (breakfast+supper),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
One Bedroom Apartment Apartment 1 bedroom - Jacuzzi,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Standard DOUBLE QUEEN BED,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Quadruple Quadruple standard,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Superior Queen Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1 Bedroom Pool Villa Suite,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Duplex Suite with Spa Access (1 Double or 1 Twin),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,duplex floor
Junior Suite - Sofa bed Junior Suite - Sofa bed,junior-suite,,private bathroom,,,not club,,no balcony,,
Superior SUPERIOR,room,superior,private bathroom,,,not club,,no balcony,,
DOUBLE EXECUTIVE,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard City 1 twin,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Room, 1 King Bed, Ocean View (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean view,
"Suite-1 King Bed, Non-Smoking, Deluxe Room, Sofabed, Microwave And Refrigerator, Separate Tub And Shower",suite,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Junior Suite JUNIOR SUITE,junior-suite,,private bathroom,,,not club,,no balcony,,
Suite 1 bedroom - Fairmont Suite 1 bedroom - Fairmont,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
